Date,Open,High,Low,Close,Adj Close,Volume
2018-06-12,5.952185,6.056609,5.886232,5.930201,4.598753,16947369
2018-06-13,5.946689,5.968673,5.748832,5.842264,4.530559,21250122
2018-06-14,5.880736,5.897225,5.528991,5.550976,4.304669,38543560
2018-06-15,5.556472,5.721352,5.468535,5.677384,4.402695,31589431
2018-06-18,5.545480,5.616928,5.490519,5.550976,4.304669,25718996
2018-06-19,5.567464,5.886232,5.561968,5.781808,4.483674,34615078
2018-06-20,5.968673,5.990657,5.737840,5.820280,4.513512,34312859
2018-06-21,5.809288,5.853256,5.671888,5.715856,4.432531,26043231
2018-06-22,5.776312,5.787304,5.671888,5.726848,4.441055,19311809
2018-06-25,5.792800,5.825776,5.633416,5.754328,4.462365,18488121
2018-06-26,5.814784,5.814784,5.644408,5.682880,4.406959,17253773
